State,District,Crop,Year,Season,Area,Production,Yield,Annual_Rainfall
Andaman and Nicobar Islands,NICOBARS,Arecanut,2001,Kharif,1254.0,2061.0,1.64354067,3080.9
Andaman and Nicobar Islands,NICOBARS,Arecanut,2002,Whole Year,1258.0,2083.0,1.655802862,2620.2
Andaman and Nicobar Islands,NICOBARS,Arecanut,2003,Whole Year,1261.0,1525.0,1.209357653,2355.9
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Arecanut,2001,Kharif,3100.0,5239.0,1.69,3080.9
Andaman and Nicobar Islands,SOUTH ANDAMANS,Arecanut,2002,Whole Year,3105.0,5267.0,1.696296296,2620.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,Arecanut,2003,Whole Year,3118.0,5182.0,1.661962797,2355.9
Andaman and Nicobar Islands,NICOBARS,Banana,2002,Whole Year,213.0,1278.0,6.0,2620.2
Andaman and Nicobar Islands,NICOBARS,Banana,2003,Whole Year,266.0,1763.0,6.627819549,2355.9
Andaman and Nicobar Islands,SOUTH ANDAMANS,Banana,2002,Whole Year,1524.0,10882.0,7.140419948,2620.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,Banana,2003,Whole Year,1530.0,11558.0,7.554248366,2355.9
Andaman and Nicobar Islands,NICOBARS,Black pepper,2002,Whole Year,63.0,13.5,0.214285714,2620.2
Andaman and Nicobar Islands,NICOBARS,Black pepper,2003,Whole Year,75.5,15.86,0.210066225,2355.9
Andaman and Nicobar Islands,SOUTH ANDAMANS,Black pepper,2002,Whole Year,487.0,102.5,0.210472279,2620.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,Black pepper,2003,Whole Year,497.0,104.37,0.21,2355.9
Arunachal Pradesh,CHANGLANG,Dry chillies,2001,Whole Year,308.0,410.0,1.331168831,2036.0
Arunachal Pradesh,CHANGLANG,Dry chillies,2002,Whole Year,320.0,480.0,1.5,2389.2
Arunachal Pradesh,CHANGLANG,Dry chillies,2003,Whole Year,345.0,534.0,1.547826087,2451.8
Arunachal Pradesh,DIBANG VALLEY,Dry chillies,2001,Whole Year,110.0,145.0,1.318181818,2036.0
Arunachal Pradesh,DIBANG VALLEY,Dry chillies,2002,Whole Year,17.0,25.0,1.470588235,2389.2
Arunachal Pradesh,DIBANG VALLEY,Dry chillies,2003,Whole Year,17.0,25.0,1.470588235,2451.8
Arunachal Pradesh,EAST KAMENG,Dry chillies,2001,Whole Year,70.0,98.0,1.4,2036.0
Arunachal Pradesh,EAST KAMENG,Dry chillies,2002,Whole Year,73.0,103.0,1.410958904,2389.2
Arunachal Pradesh,EAST KAMENG,Dry chillies,2003,Whole Year,72.0,103.0,1.430555556,2451.8
Arunachal Pradesh,EAST SIANG,Dry chillies,2001,Whole Year,138.0,160.0,1.15942029,2036.0
Arunachal Pradesh,EAST SIANG,Dry chillies,2002,Whole Year,140.0,170.0,1.214285714,2389.2
Arunachal Pradesh,EAST SIANG,Dry chillies,2003,Whole Year,140.0,155.0,1.107142857,2451.8
Arunachal Pradesh,KURUNG KUMEY,Dry chillies,2002,Whole Year,60.0,85.0,1.416666667,2389.2
Arunachal Pradesh,KURUNG KUMEY,Dry chillies,2003,Whole Year,60.0,78.0,1.3,2451.8
Arunachal Pradesh,LOHIT,Dry chillies,2001,Whole Year,105.0,147.0,1.4,2036.0
Arunachal Pradesh,LOHIT,Dry chillies,2002,Whole Year,125.0,175.0,1.4,2389.2
Arunachal Pradesh,LOHIT,Dry chillies,2003,Whole Year,125.0,175.0,1.4,2451.8
Arunachal Pradesh,LOWER DIBANG VALLEY,Dry chillies,2002,Whole Year,17.0,25.0,1.470588235,2389.2
Arunachal Pradesh,LOWER DIBANG VALLEY,Dry chillies,2003,Whole Year,50.0,60.0,1.2,2451.8
Arunachal Pradesh,LOWER SUBANSIRI,Dry chillies,2001,Whole Year,210.0,250.0,1.19047619,2036.0
Arunachal Pradesh,LOWER SUBANSIRI,Dry chillies,2002,Whole Year,153.0,214.0,1.39869281,2389.2
Arunachal Pradesh,LOWER SUBANSIRI,Dry chillies,2003,Whole Year,140.0,215.0,1.535714286,2451.8
Arunachal Pradesh,PAPUM PARE,Dry chillies,2001,Whole Year,40.0,67.0,1.675,2036.0
Arunachal Pradesh,PAPUM PARE,Dry chillies,2002,Whole Year,60.0,88.0,1.466666667,2389.2
Arunachal Pradesh,PAPUM PARE,Dry chillies,2003,Whole Year,52.0,72.0,1.384615385,2451.8
Arunachal Pradesh,TAWANG,Dry chillies,2002,Whole Year,71.0,138.0,1.943661972,2389.2
Arunachal Pradesh,TAWANG,Dry chillies,2003,Whole Year,74.0,148.0,2.0,2451.8
Arunachal Pradesh,TIRAP,Dry chillies,2001,Whole Year,120.0,160.0,1.333333333,2036.0
Arunachal Pradesh,TIRAP,Dry chillies,2002,Whole Year,120.0,132.0,1.1,2389.2
Arunachal Pradesh,TIRAP,Dry chillies,2003,Whole Year,125.0,150.0,1.2,2451.8
Arunachal Pradesh,UPPER SIANG,Dry chillies,2001,Whole Year,170.0,210.0,1.235294118,2036.0
Arunachal Pradesh,UPPER SIANG,Dry chillies,2002,Whole Year,175.0,220.0,1.257142857,2389.2
Arunachal Pradesh,UPPER SIANG,Dry chillies,2003,Whole Year,175.0,220.0,1.257142857,2451.8
Arunachal Pradesh,UPPER SUBANSIRI,Dry chillies,2001,Whole Year,75.0,100.0,1.333333333,2036.0
Arunachal Pradesh,UPPER SUBANSIRI,Dry chillies,2002,Whole Year,80.0,106.0,1.325,2389.2
Arunachal Pradesh,UPPER SUBANSIRI,Dry chillies,2003,Whole Year,85.0,111.0,1.305882353,2451.8
Arunachal Pradesh,WEST KAMENG,Dry chillies,2001,Whole Year,43.0,146.0,3.395348837,2036.0
Arunachal Pradesh,WEST KAMENG,Dry chillies,2002,Whole Year,43.0,146.0,3.395348837,2389.2
Arunachal Pradesh,WEST KAMENG,Dry chillies,2003,Whole Year,43.0,146.0,3.395348837,2451.8
Arunachal Pradesh,WEST SIANG,Dry chillies,2001,Whole Year,240.0,235.0,0.979166667,2036.0
Arunachal Pradesh,WEST SIANG,Dry chillies,2002,Whole Year,154.0,238.0,1.545454545,2389.2
Arunachal Pradesh,WEST SIANG,Dry chillies,2003,Whole Year,154.0,238.0,1.545454545,2451.8
Arunachal Pradesh,CHANGLANG,Ginger,2001,Whole Year,477.0,2242.0,4.700209644,2036.0
Arunachal Pradesh,CHANGLANG,Ginger,2002,Whole Year,450.0,2475.0,5.5,2389.2
Arunachal Pradesh,CHANGLANG,Ginger,2003,Whole Year,425.0,2402.0,5.651764706,2451.8
Arunachal Pradesh,DIBANG VALLEY,Ginger,2001,Whole Year,2420.0,21780.0,9.0,2036.0
Arunachal Pradesh,DIBANG VALLEY,Ginger,2002,Whole Year,3.0,50.0,16.66666667,2389.2
Arunachal Pradesh,DIBANG VALLEY,Ginger,2003,Whole Year,10.0,80.0,8.0,2451.8
Arunachal Pradesh,EAST KAMENG,Ginger,2001,Whole Year,52.0,234.0,4.5,2036.0
Arunachal Pradesh,EAST KAMENG,Ginger,2002,Whole Year,52.0,231.0,4.442307692,2389.2
